,station,date,prcp,tobs
4,USC00519397,2010-01-06,,73
26,USC00519397,2010-01-30,,70
29,USC00519397,2010-02-03,,67
43,USC00519397,2010-02-19,,63
61,USC00519397,2010-03-11,,73
72,USC00519397,2010-03-26,,72
122,USC00519397,2010-05-21,,77
176,USC00519397,2010-07-16,,78
282,USC00519397,2010-11-04,,73
294,USC00519397,2010-11-19,,72
324,USC00519397,2010-12-26,,74
341,USC00519397,2011-01-13,,68
369,USC00519397,2011-02-12,,68
390,USC00519397,2011-03-08,,72
490,USC00519397,2011-06-24,,77
586,USC00519397,2011-10-05,,79
830,USC00519397,2012-06-08,,77
831,USC00519397,2012-06-09,,76
861,USC00519397,2012-07-09,,77
901,USC00519397,2012-08-18,,77
902,USC00519397,2012-08-19,,76
1011,USC00519397,2012-12-06,,69
1012,USC00519397,2012-12-07,,69
1045,USC00519397,2013-01-10,,72
1046,USC00519397,2013-01-11,,72
1240,USC00519397,2013-07-24,,79
1410,USC00519397,2014-01-10,,72
1411,USC00519397,2014-01-11,,70
1528,USC00519397,2014-05-08,,73
1529,USC00519397,2014-05-09,,77
1542,USC00519397,2014-05-22,,78
1620,USC00519397,2014-08-08,,80
1621,USC00519397,2014-08-09,,78
1828,USC00519397,2015-03-06,,69
1829,USC00519397,2015-03-07,,68
1993,USC00519397,2015-08-19,,80
1994,USC00519397,2015-08-20,,78
2376,USC00519397,2016-09-05,,79
2377,USC00519397,2016-09-06,,76
2765,USC00513117,2010-02-13,,71
2990,USC00513117,2010-09-27,,72
3664,USC00513117,2012-08-19,,71
3697,USC00513117,2012-09-22,,73
3809,USC00513117,2013-01-13,,77
4003,USC00513117,2013-07-28,,77
4641,USC00513117,2015-05-04,,77
4669,USC00513117,2015-06-03,,75
4694,USC00513117,2015-06-29,,74
4696,USC00513117,2015-07-08,,77
4702,USC00513117,2015-07-15,,77
4703,USC00513117,2015-07-17,,78
4742,USC00513117,2015-09-09,,76
5439,USC00514830,2010-03-08,,69
5446,USC00514830,2010-03-17,,66
5463,USC00514830,2010-04-04,,70
5496,USC00514830,2010-05-08,,73
5507,USC00514830,2010-05-21,,71
5543,USC00514830,2010-06-27,,75
5562,USC00514830,2010-07-18,,75
5650,USC00514830,2010-10-17,,74
5663,USC00514830,2010-11-01,,72
5683,USC00514830,2010-11-22,,70
5686,USC00514830,2010-11-26,,73
5715,USC00514830,2010-12-26,,68
5748,USC00514830,2011-01-31,,67
5753,USC00514830,2011-02-07,,69
5758,USC00514830,2011-02-13,,67
5761,USC00514830,2011-02-17,,73
5763,USC00514830,2011-02-20,,74
5769,USC00514830,2011-02-28,,70
5781,USC00514830,2011-03-14,,73
5787,USC00514830,2011-03-21,,71
5791,USC00514830,2011-03-26,,68
5792,USC00514830,2011-03-28,,71
5797,USC00514830,2011-04-04,,72
5802,USC00514830,2011-04-10,,74
5808,USC00514830,2011-04-17,,76
5821,USC00514830,2011-05-02,,75
5827,USC00514830,2011-05-09,,72
5837,USC00514830,2011-05-22,,73
5843,USC00514830,2011-05-29,,75
5855,USC00514830,2011-06-13,,72
5862,USC00514830,2011-06-21,,72
5867,USC00514830,2011-06-27,,74
5870,USC00514830,2011-07-03,,77
5878,USC00514830,2011-07-12,,75
5883,USC00514830,2011-07-18,,76
5888,USC00514830,2011-07-25,,75
5900,USC00514830,2011-08-13,,77
5901,USC00514830,2011-08-15,,75
5905,USC00514830,2011-08-25,,75
5908,USC00514830,2011-08-29,,75
5915,USC00514830,2011-09-06,,71
5917,USC00514830,2011-09-09,,76
5919,USC00514830,2011-09-12,,76
5925,USC00514830,2011-09-19,,77
5943,USC00514830,2011-10-10,,77
5955,USC00514830,2011-10-24,,70
5968,USC00514830,2011-11-07,,72
5973,USC00514830,2011-11-14,,74
5979,USC00514830,2011-11-21,,72
5983,USC00514830,2011-11-27,,71
5997,USC00514830,2011-12-12,,74
6002,USC00514830,2011-12-18,,71
6007,USC00514830,2011-12-24,,72
6008,USC00514830,2011-12-26,,72
6010,USC00514830,2011-12-29,,70
6025,USC00514830,2012-01-15,,73
6031,USC00514830,2012-01-22,,74
6042,USC00514830,2012-02-05,,74
6048,USC00514830,2012-02-12,,72
6055,USC00514830,2012-02-20,,69
6060,USC00514830,2012-02-27,,70
6065,USC00514830,2012-03-05,,66
6077,USC00514830,2012-03-20,,63
6078,USC00514830,2012-03-22,,71
6079,USC00514830,2012-03-26,,68
6084,USC00514830,2012-04-01,,72
6085,USC00514830,2012-04-03,,72
6089,USC00514830,2012-04-09,,68
6101,USC00514830,2012-04-23,,68
6106,USC00514830,2012-04-30,,71
6109,USC00514830,2012-06-24,,76
6147,USC00514830,2012-08-06,,80
6148,USC00514830,2012-08-13,,78
6153,USC00514830,2012-08-20,,79
6158,USC00514830,2012-08-27,,73
6164,USC00514830,2012-09-03,,76
6169,USC00514830,2012-09-10,,77
6174,USC00514830,2012-09-17,,80
6187,USC00514830,2012-10-01,,80
6199,USC00514830,2012-10-14,,79
6206,USC00514830,2012-10-22,,78
6212,USC00514830,2012-10-29,,80
6224,USC00514830,2012-11-11,,78
6235,USC00514830,2012-11-24,,77
6236,USC00514830,2012-11-27,,74
6241,USC00514830,2012-12-03,,79
6246,USC00514830,2012-12-10,,76
6251,USC00514830,2012-12-17,,73
6254,USC00514830,2012-12-21,,75
6256,USC00514830,2012-12-24,,74
6257,USC00514830,2012-12-26,,76
6258,USC00514830,2012-12-28,,75
6259,USC00514830,2012-12-31,,76
6260,USC00514830,2013-01-02,,71
